id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,status_kelahiran,jenis_kelamin,jumlah_kelahiran,satuan,tahun
50,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MATI,PEREMPUAN,79,JIWA,2013
51,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HIDUP,LAKI-LAKI,10819,JIWA,2013
52,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HIDUP,PEREMPUAN,10449,JIWA,2013
53,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MATI,LAKI-LAKI,14,JIWA,2013
54,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MATI,PEREMPUAN,22,JIWA,2013
55,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HIDUP,LAKI-LAKI,17121,JIWA,2013
56,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HIDUP,PEREMPUAN,16933,JIWA,2013
57,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MATI,LAKI-LAKI,76,JIWA,2013
58,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MATI,PEREMPUAN,70,JIWA,2013
59,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HIDUP,LAKI-LAKI,3344,JIWA,2013
60,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HIDUP,PEREMPUAN,3342,JIWA,2013
61,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MATI,LAKI-LAKI,28,JIWA,2013
62,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MATI,PEREMPUAN,27,JIWA,2013
63,32,JAWA BARAT,3271,KOTA BOGOR,HIDUP,LAKI-LAKI,9574,JIWA,2013
64,32,JAWA BARAT,3271,KOTA BOGOR,HIDUP,PEREMPUAN,9004,JIWA,2013
65,32,JAWA BARAT,3272,KOTA SUKABUMI,HIDUP,LAKI-LAKI,3692,JIWA,2013
66,32,JAWA BARAT,3272,KOTA SUKABUMI,HIDUP,PEREMPUAN,3595,JIWA,2013
67,32,JAWA BARAT,3272,KOTA SUKABUMI,MATI,LAKI-LAKI,9,JIWA,2013
68,32,JAWA BARAT,3272,KOTA SUKABUMI,MATI,PEREMPUAN,8,JIWA,2013
69,32,JAWA BARAT,3274,KOTA CIREBON,HIDUP,LAKI-LAKI,2855,JIWA,2013
70,32,JAWA BARAT,3274,KOTA CIREBON,HIDUP,PEREMPUAN,2561,JIWA,2013
71,32,JAWA BARAT,3274,KOTA CIREBON,MATI,LAKI-LAKI,14,JIWA,2013
72,32,JAWA BARAT,3274,KOTA CIREBON,MATI,PEREMPUAN,10,JIWA,2013
73,32,JAWA BARAT,3276,KOTA DEPOK,HIDUP,LAKI-LAKI,20712,JIWA,2013
74,32,JAWA BARAT,3276,KOTA DEPOK,HIDUP,PEREMPUAN,21949,JIWA,2013
75,32,JAWA BARAT,3276,KOTA DEPOK,MATI,LAKI-LAKI,26,JIWA,2013
76,32,JAWA BARAT,3276,KOTA DEPOK,MATI,PEREMPUAN,25,JIWA,2013
77,32,JAWA BARAT,3277,KOTA CIMAHI,HIDUP,LAKI-LAKI,5116,JIWA,2013
78,32,JAWA BARAT,3277,KOTA CIMAHI,HIDUP,PEREMPUAN,5535,JIWA,2013
79,32,JAWA BARAT,3277,KOTA CIMAHI,MATI,LAKI-LAKI,19,JIWA,2013
80,32,JAWA BARAT,3277,KOTA CIMAHI,MATI,PEREMPUAN,19,JIWA,2013
81,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HIDUP,LAKI-LAKI,6971,JIWA,2013
82,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HIDUP,PEREMPUAN,6602,JIWA,2013
83,32,JAWA BARAT,3279,KOTA BANJAR,HIDUP,LAKI-LAKI,1801,JIWA,2013
84,32,JAWA BARAT,3279,KOTA BANJAR,HIDUP,PEREMPUAN,1534,JIWA,2013
85,32,JAWA BARAT,3279,KOTA BANJAR,MATI,LAKI-LAKI,13,JIWA,2013
86,32,JAWA BARAT,3279,KOTA BANJAR,MATI,PEREMPUAN,10,JIWA,2013
87,32,JAWA BARAT,3201,KABUPATEN BOGOR,HIDUP,LAKI-LAKI,59586,JIWA,2014
88,32,JAWA BARAT,3201,KABUPATEN BOGOR,HIDUP,PEREMPUAN,60786,JIWA,2014
89,32,JAWA BARAT,3201,KABUPATEN BOGOR,MATI,LAKI-LAKI,108,JIWA,2014
90,32,JAWA BARAT,3201,KABUPATEN BOGOR,MATI,PEREMPUAN,72,JIWA,2014
91,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HIDUP,LAKI-LAKI,16900,JIWA,2014
92,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HIDUP,PEREMPUAN,16035,JIWA,2014
93,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MATI,LAKI-LAKI,156,JIWA,2014
94,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MATI,PEREMPUAN,103,JIWA,2014
95,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HIDUP,LAKI-LAKI,10740,JIWA,2014
96,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HIDUP,PEREMPUAN,10277,JIWA,2014
97,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MATI,LAKI-LAKI,68,JIWA,2014
98,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MATI,PEREMPUAN,26,JIWA,2014
99,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HIDUP,LAKI-LAKI,10668,JIWA,2014
100,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HIDUP,PEREMPUAN,10207,JIWA,2014
101,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MATI,LAKI-LAKI,9,JIWA,2014
102,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MATI,PEREMPUAN,5,JIWA,2014
103,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HIDUP,LAKI-LAKI,12680,JIWA,2014
104,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HIDUP,PEREMPUAN,10374,JIWA,2014
105,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MATI,LAKI-LAKI,73,JIWA,2014
106,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MATI,PEREMPUAN,61,JIWA,2014
107,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HIDUP,LAKI-LAKI,14905,JIWA,2014
108,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HIDUP,PEREMPUAN,13995,JIWA,2014
109,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MATI,LAKI-LAKI,85,JIWA,2014
110,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MATI,PEREMPUAN,35,JIWA,2014
111,32,JAWA BARAT,3271,KOTA BOGOR,HIDUP,LAKI-LAKI,9743,JIWA,2014
112,32,JAWA BARAT,3271,KOTA BOGOR,HIDUP,PEREMPUAN,9986,JIWA,2014
113,32,JAWA BARAT,3271,KOTA BOGOR,MATI,LAKI-LAKI,11,JIWA,2014
114,32,JAWA BARAT,3271,KOTA BOGOR,MATI,PEREMPUAN,10,JIWA,2014
115,32,JAWA BARAT,3274,KOTA CIREBON,HIDUP,LAKI-LAKI,2874,JIWA,2014
116,32,JAWA BARAT,3274,KOTA CIREBON,HIDUP,PEREMPUAN,2581,JIWA,2014
117,32,JAWA BARAT,3274,KOTA CIREBON,MATI,LAKI-LAKI,18,JIWA,2014
118,32,JAWA BARAT,3274,KOTA CIREBON,MATI,PEREMPUAN,10,JIWA,2014
119,32,JAWA BARAT,3276,KOTA DEPOK,HIDUP,LAKI-LAKI,22789,JIWA,2014
120,32,JAWA BARAT,3276,KOTA DEPOK,HIDUP,PEREMPUAN,23890,JIWA,2014
121,32,JAWA BARAT,3276,KOTA DEPOK,MATI,LAKI-LAKI,26,JIWA,2014
122,32,JAWA BARAT,3276,KOTA DEPOK,MATI,PEREMPUAN,29,JIWA,2014
123,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HIDUP,LAKI-LAKI,6932,JIWA,2014
124,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HIDUP,PEREMPUAN,6495,JIWA,2014
125,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MATI,LAKI-LAKI,60,JIWA,2014
126,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MATI,PEREMPUAN,33,JIWA,2014
127,32,JAWA BARAT,3201,KABUPATEN BOGOR,HIDUP,LAKI-LAKI,63709,JIWA,2015
128,32,JAWA BARAT,3201,KABUPATEN BOGOR,HIDUP,PEREMPUAN,63993,JIWA,2015
129,32,JAWA BARAT,3201,KABUPATEN BOGOR,MATI,LAKI-LAKI,142,JIWA,2015
130,32,JAWA BARAT,3201,KABUPATEN BOGOR,MATI,PEREMPUAN,100,JIWA,2015
131,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HIDUP,LAKI-LAKI,24497,JIWA,2015
132,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HIDUP,PEREMPUAN,24983,JIWA,2015
133,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MATI,LAKI-LAKI,243,JIWA,2015
134,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MATI,PEREMPUAN,25,JIWA,2015
135,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HIDUP,LAKI-LAKI,34373,JIWA,2015
136,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HIDUP,PEREMPUAN,34561,JIWA,2015
137,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MATI,LAKI-LAKI,94,JIWA,2015
138,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MATI,PEREMPUAN,79,JIWA,2015
139,32,JAWA BARAT,3205,KABUPATEN GARUT,HIDUP,LAKI-LAKI,26330,JIWA,2015
140,32,JAWA BARAT,3205,KABUPATEN GARUT,HIDUP,PEREMPUAN,26518,JIWA,2015
141,32,JAWA BARAT,3205,KABUPATEN GARUT,MATI,LAKI-LAKI,94,JIWA,2015
142,32,JAWA BARAT,3205,KABUPATEN GARUT,MATI,PEREMPUAN,63,JIWA,2015
143,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HIDUP,LAKI-LAKI,16281,JIWA,2015
